replicate_seed,generation,mutation_rate,reputation_enabled,communication_enabled,communication_error_rate,memory_window,policy,count,payoff,average_payoff_per_round,cooperation_rate,selected_count,mutations_in,mutations_out,next_count
20260923,1,0.0,False,True,0.25,,communication_guard,25,27550,2.204,0.5512,25,0,0,25
20260923,1,0.0,False,True,0.25,,tit_for_tat,26,28500,2.1923076923076925,0.6538461538461539,26,0,0,26
20260923,2,0.0,False,True,0.25,,always_cooperate,26,29100,2.2384615384615385,1.0,25,0,0,25
20260923,2,0.0,False,True,0.25,,always_defect,23,26156,2.2744347826086955,0.0,23,0,0,23
20260923,2,0.0,False,True,0.25,,communication_guard,25,29390,2.3512,0.6408,25,0,0,25
20260923,2,0.0,False,True,0.25,,tit_for_tat,26,31566,2.428153846153846,0.7549230769230769,27,0,0,27
20260923,3,0.0,False,True,0.25,,always_cooperate,25,27780,2.2224,1.0,24,0,0,24
20260923,3,0.0,False,True,0.25,,always_defect,23,24924,2.167304347826087,0.0,22,0,0,22
20260923,3,0.0,False,True,0.25,,communication_guard,25,29454,2.35632,0.6048,26,0,0,26
20260923,3,0.0,False,True,0.25,,tit_for_tat,27,31953,2.366888888888889,0.7286666666666667,28,0,0,28
20260923,4,0.0,False,True,0.25,,always_cooperate,24,27270,2.2725,1.0,24,0,0,24
20260923,4,0.0,False,True,0.25,,always_defect,22,23868,2.1698181818181816,0.0,21,0,0,21
20260923,4,0.0,False,True,0.25,,communication_guard,26,30106,2.3158461538461537,0.6061538461538462,26,0,0,26
20260923,4,0.0,False,True,0.25,,tit_for_tat,28,33054,2.361,0.7261428571428571,29,0,0,29
20260923,5,0.0,False,True,0.25,,always_cooperate,24,28050,2.3375,1.0,25,0,0,25
20260923,5,0.0,False,True,0.25,,always_defect,21,22612,2.1535238095238096,0.0,20,0,0,20
20260923,5,0.0,False,True,0.25,,communication_guard,26,28580,2.1984615384615385,0.5446153846153846,25,0,0,25
20260923,5,0.0,False,True,0.25,,tit_for_tat,29,33147,2.286,0.694,30,0,0,30
20260923,6,0.0,False,True,0.25,,always_cooperate,25,29820,2.3856,1.0,26,0,0,26
20260923,6,0.0,False,True,0.25,,always_defect,20,21496,2.1496,0.0,18,0,0,18
20260923,6,0.0,False,True,0.25,,communication_guard,25,28712,2.29696,0.5896,25,0,0,25
20260923,6,0.0,False,True,0.25,,tit_for_tat,30,35403,2.3602,0.7258,31,0,0,31
20260923,7,0.0,False,True,0.25,,always_cooperate,26,31080,2.390769230769231,1.0,27,0,0,27
20260923,7,0.0,False,True,0.25,,always_defect,18,19700,2.188888888888889,0.0,17,0,0,17
20260923,7,0.0,False,True,0.25,,communication_guard,25,27620,2.2096,0.516,24,0,0,24
20260923,7,0.0,False,True,0.25,,tit_for_tat,31,37575,2.424193548387097,0.7532258064516129,32,0,0,32
20260923,8,0.0,False,True,0.25,,always_cooperate,27,33510,2.482222222222222,1.0,27,0,0,27
20260923,8,0.0,False,True,0.25,,always_defect,17,19028,2.2385882352941175,0.0,16,0,0,16
20260923,8,0.0,False,True,0.25,,communication_guard,24,29028,2.419,0.6608333333333334,24,0,0,24
20260923,8,0.0,False,True,0.25,,tit_for_tat,32,39726,2.482875,0.778375,33,0,0,33
20260923,9,0.0,False,True,0.25,,always_cooperate,27,33480,2.48,1.0,27,0,0,27
20260923,9,0.0,False,True,0.25,,always_defect,16,18472,2.309,0.0,15,0,0,15
20260923,9,0.0,False,True,0.25,,communication_guard,24,30386,2.5321666666666665,0.7341666666666666,24,0,0,24
20260923,9,0.0,False,True,0.25,,tit_for_tat,33,42948,2.602909090909091,0.8298181818181818,34,0,0,34
20260924,0,0.0,False,True,0.25,,always_cooperate,25,27870,2.2296,1.0,26,0,0,26
20260924,0,0.0,False,True,0.25,,always_defect,25,26680,2.1344,0.0,25,0,0,25
20260924,0,0.0,False,True,0.25,,communication_guard,25,26626,2.13008,0.512,24,0,0,24
20260924,0,0.0,False,True,0.25,,tit_for_tat,25,27126,2.17008,0.64432,25,0,0,25
20260924,1,0.0,False,True,0.25,,always_cooperate,26,28350,2.1807692307692306,1.0,25,0,0,25
20260924,1,0.0,False,True,0.25,,always_defect,25,28456,2.27648,0.0,25,0,0,25
20260924,1,0.0,False,True,0.25,,communication_guard,24,27172,2.2643333333333335,0.6033333333333334,24,0,0,24
20260924,1,0.0,False,True,0.25,,tit_for_tat,25,29373,2.34984,0.72136,26,0,0,26
20260924,2,0.0,False,True,0.25,,always_cooperate,25,27000,2.16,1.0,24,0,0,24
20260924,2,0.0,False,True,0.25,,always_defect,25,27052,2.16416,0.0,25,0,0,25
20260924,2,0.0,False,True,0.25,,communication_guard,24,26508,2.209,0.5208333333333334,24,0,0,24
20260924,2,0.0,False,True,0.25,,tit_for_tat,26,29655,2.2811538461538463,0.691923076923077,27,0,0,27
20260924,3,0.0,False,True,0.25,,always_cooperate,24,26100,2.175,1.0,23,0,0,23
20260924,3,0.0,False,True,0.25,,always_defect,25,27144,2.17152,0.0,24,0,0,24
20260924,3,0.0,False,True,0.25,,communication_guard,24,27292,2.2743333333333333,0.5891666666666666,25,0,0,25
20260924,3,0.0,False,True,0.25,,tit_for_tat,27,30861,2.286,0.694,28,0,0,28
20260924,4,0.0,False,True,0.25,,always_cooperate,23,25710,2.2356521739130435,1.0,24,0,0,24
20260924,4,0.0,False,True,0.25,,always_defect,24,25340,2.111666666666667,0.0,24,0,0,24
20260924,4,0.0,False,True,0.25,,communication_guard,25,26236,2.09888,0.4912,24,0,0,24
20260924,4,0.0,False,True,0.25,,tit_for_tat,28,30681,2.1915,0.6535,28,0,0,28
20260924,5,0.0,False,True,0.25,,always_cooperate,24,27090,2.2575,1.0,24,0,0,24
20260924,5,0.0,False,True,0.25,,always_defect,24,25488,2.124,0.0,23,0,0,23
20260924,5,0.0,False,True,0.25,,communication_guard,24,26246,2.1871666666666667,0.5441666666666667,24,0,0,24
20260924,5,0.0,False,True,0.25,,tit_for_tat,28,32109,2.2935,0.6972142857142857,29,0,0,29
20260924,6,0.0,False,True,0.25,,always_cooperate,24,27180,2.265,1.0,25,0,0,25
20260924,6,0.0,False,True,0.25,,always_defect,23,23992,2.0862608695652174,0.0,22,0,0,22
20260924,6,0.0,False,True,0.25,,communication_guard,24,24994,2.0828333333333333,0.46416666666666667,23,0,0,23
20260924,6,0.0,False,True,0.25,,tit_for_tat,29,32916,2.2700689655172415,0.6871724137931035,30,0,0,30
20260924,7,0.0,False,True,0.25,,always_cooperate,25,29040,2.3232,1.0,25,0,0,25
20260924,7,0.0,False,True,0.25,,always_defect,22,23832,2.1665454545454543,0.0,21,0,0,21
20260924,7,0.0,False,True,0.25,,communication_guard,23,25660,2.2313043478260868,0.5730434782608695,23,0,0,23
20260924,7,0.0,False,True,0.25,,tit_for_tat,30,35487,2.3658,0.7282,31,0,0,31
20260924,8,0.0,False,True,0.25,,always_cooperate,25,29010,2.3208,1.0,25,0,0,25
20260924,8,0.0,False,True,0.25,,always_defect,21,23164,2.206095238095238,0.0,20,0,0,20
20260924,8,0.0,False,True,0.25,,communication_guard,23,26480,2.302608695652174,0.6026086956521739,23,0,0,23
20260924,8,0.0,False,True,0.25,,tit_for_tat,31,37764,2.4363870967741934,0.7584516129032258,32,0,0,32
20260924,9,0.0,False,True,0.25,,always_cooperate,25,29130,2.3304,1.0,24,0,0,24
20260924,9,0.0,False,True,0.25,,always_defect,20,22216,2.2216,0.0,19,0,0,19
20260924,9,0.0,False,True,0.25,,communication_guard,23,27544,2.3951304347826086,0.6547826086956522,23,0,0,23
20260924,9,0.0,False,True,0.25,,tit_for_tat,32,40020,2.50125,0.78625,34,0,0,34
20260925,0,0.0,False,True,0.25,,always_cooperate,25,27240,2.1792,1.0,24,0,0,24
20260925,0,0.0,False,True,0.25,,always_defect,25,27736,2.21888,0.0,25,0,0,25
20260925,0,0.0,False,True,0.25,,communication_guard,25,27874,2.22992,0.5752,25,0,0,25
20260925,0,0.0,False,True,0.25,,tit_for_tat,25,29520,2.3616,0.7264,26,0,0,26
20260925,1,0.0,False,True,0.25,,always_cooperate,24,25890,2.1575,1.0,24,0,0,24
20260925,1,0.0,False,True,0.25,,always_defect,25,26628,2.13024,0.0,24,0,0,24
20260925,1,0.0,False,True,0.25,,communication_guard,25,27940,2.2352,0.5376,25,0,0,25
20260925,1,0.0,False,True,0.25,,tit_for_tat,26,29613,2.2779230769230767,0.6905384615384615,27,0,0,27
20260925,2,0.0,False,True,0.25,,always_cooperate,24,26490,2.2075,1.0,24,0,0,24
20260925,2,0.0,False,True,0.25,,always_defect,24,26008,2.167333333333333,0.0,23,0,0,23
20260925,2,0.0,False,True,0.25,,communication_guard,25,28768,2.30144,0.604,26,0,0,26
20260925,2,0.0,False,True,0.25,,tit_for_tat,27,30966,2.2937777777777777,0.6973333333333334,27,0,0,27
20260925,3,0.0,False,True,0.25,,always_cooperate,24,27210,2.2675,1.0,25,0,0,25
20260925,3,0.0,False,True,0.25,,always_defect,23,24784,2.155130434782609,0.0,22,0,0,22
