replicate_seed,generation,mutation_rate,policy,count,payoff,average_payoff_per_round,cooperation_rate,selected_count,mutations_in,mutations_out,next_count
20260923,5,0.02,always_defect,15,17576,2.3434666666666666,0.0,14,0,1,13
20260923,5,0.02,forgiving_tit_for_tat,26,34380,2.644615384615385,0.8707692307692307,26,1,0,27
20260923,5,0.02,pavlov,21,27650,2.6333333333333333,0.9266666666666666,21,0,0,21
20260923,5,0.02,tit_for_tat,23,31161,2.7096521739130437,0.8755652173913043,24,0,0,24
20260923,6,0.02,always_cooperate,15,19260,2.568,1.0,14,0,0,14
20260923,6,0.02,always_defect,13,15712,2.4172307692307693,0.0,12,1,0,13
20260923,6,0.02,forgiving_tit_for_tat,27,36870,2.7311111111111113,0.9022222222222223,28,0,1,27
20260923,6,0.02,pavlov,21,27825,2.65,0.93,21,0,1,20
20260923,6,0.02,tit_for_tat,24,32682,2.7235,0.8815,25,1,0,26
20260923,7,0.02,always_cooperate,14,17760,2.537142857142857,1.0,13,0,0,13
20260923,7,0.02,always_defect,13,15160,2.332307692307692,0.0,11,0,0,11
20260923,7,0.02,forgiving_tit_for_tat,27,36474,2.7017777777777776,0.8915555555555555,28,0,0,28
20260923,7,0.02,pavlov,20,27250,2.725,0.945,21,0,0,21
20260923,7,0.02,tit_for_tat,26,35451,2.727,0.883,27,0,0,27
20260923,8,0.02,always_cooperate,13,17370,2.6723076923076925,1.0,13,1,1,13
20260923,8,0.02,always_defect,11,12688,2.306909090909091,0.0,9,3,0,12
20260923,8,0.02,forgiving_tit_for_tat,28,38524,2.751714285714286,0.9097142857142857,29,1,1,29
20260923,8,0.02,pavlov,21,28400,2.704761904761905,0.940952380952381,21,1,2,20
20260923,8,0.02,tit_for_tat,27,37329,2.765111111111111,0.8993333333333333,28,0,2,26
20260923,9,0.02,always_cooperate,13,17010,2.616923076923077,1.0,13,0,0,13
20260923,9,0.02,always_defect,12,13824,2.304,0.0,10,0,1,9
20260923,9,0.02,forgiving_tit_for_tat,29,39430,2.719310344827586,0.8979310344827586,30,0,1,29
20260923,9,0.02,pavlov,20,27075,2.7075,0.9415,20,2,0,22
20260923,9,0.02,tit_for_tat,26,35409,2.7237692307692307,0.8816153846153846,27,0,0,27
20260924,0,0.02,always_cooperate,20,23730,2.373,1.0,19,0,0,19
20260924,0,0.02,always_defect,20,25000,2.5,0.0,20,2,0,22
20260924,0,0.02,forgiving_tit_for_tat,20,25446,2.5446,0.8344,20,0,0,20
20260924,0,0.02,pavlov,20,24775,2.4775,0.8955,20,0,1,19
20260924,0,0.02,tit_for_tat,20,25779,2.5779,0.8191,21,0,1,20
20260924,1,0.02,always_cooperate,19,21840,2.298947368421053,1.0,18,2,0,20
20260924,1,0.02,always_defect,22,26460,2.4054545454545453,0.0,21,0,1,20
20260924,1,0.02,forgiving_tit_for_tat,20,25270,2.527,0.828,21,1,1,21
20260924,1,0.02,pavlov,19,23475,2.471052631578947,0.8942105263157895,19,0,1,18
20260924,1,0.02,tit_for_tat,20,25590,2.559,0.811,21,1,1,21
20260924,2,0.02,always_cooperate,20,23490,2.349,1.0,19,0,0,19
20260924,2,0.02,always_defect,20,24524,2.4524,0.0,20,0,1,19
20260924,2,0.02,forgiving_tit_for_tat,21,27188,2.5893333333333333,0.8506666666666667,22,1,0,23
20260924,2,0.02,pavlov,18,22725,2.525,0.905,18,0,0,18
20260924,2,0.02,tit_for_tat,21,27006,2.572,0.8165714285714286,21,1,1,21
20260924,3,0.02,always_cooperate,19,22440,2.3621052631578947,1.0,18,1,0,19
20260924,3,0.02,always_defect,19,23476,2.471157894736842,0.0,18,1,0,19
20260924,3,0.02,forgiving_tit_for_tat,23,29792,2.590608695652174,0.8511304347826087,24,0,0,24
20260924,3,0.02,pavlov,18,22775,2.5305555555555554,0.9061111111111111,18,0,1,17
20260924,3,0.02,tit_for_tat,21,27279,2.598,0.8277142857142857,22,0,1,21
20260924,4,0.02,always_cooperate,19,23400,2.463157894736842,1.0,19,0,1,18
20260924,4,0.02,always_defect,19,22276,2.344842105263158,0.0,18,1,1,18
20260924,4,0.02,forgiving_tit_for_tat,24,30808,2.5673333333333335,0.8426666666666667,24,0,0,24
20260924,4,0.02,pavlov,17,21350,2.511764705882353,0.9023529411764706,17,1,0,18
20260924,4,0.02,tit_for_tat,21,27468,2.616,0.8354285714285714,22,0,0,22
20260924,5,0.02,always_cooperate,18,22230,2.47,1.0,17,0,0,17
20260924,5,0.02,always_defect,18,21464,2.384888888888889,0.0,17,1,0,18
20260924,5,0.02,forgiving_tit_for_tat,24,31226,2.6021666666666667,0.8553333333333333,25,0,1,24
20260924,5,0.02,pavlov,18,22575,2.5083333333333333,0.9016666666666666,18,2,0,20
20260924,5,0.02,tit_for_tat,22,28653,2.6048181818181817,0.8306363636363636,23,0,2,21
20260924,6,0.02,always_cooperate,17,20610,2.4247058823529413,1.0,16,0,0,16
20260924,6,0.02,always_defect,18,21688,2.409777777777778,0.0,17,1,0,18
20260924,6,0.02,forgiving_tit_for_tat,24,31358,2.613166666666667,0.8593333333333333,25,0,1,24
20260924,6,0.02,pavlov,20,25300,2.53,0.906,20,1,0,21
20260924,6,0.02,tit_for_tat,21,27720,2.64,0.8457142857142858,22,0,1,21
20260924,7,0.02,always_cooperate,16,19530,2.44125,1.0,15,0,0,15
20260924,7,0.02,always_defect,18,21144,2.3493333333333335,0.0,17,0,3,14
20260924,7,0.02,forgiving_tit_for_tat,24,30874,2.5728333333333335,0.8446666666666667,25,2,1,26
20260924,7,0.02,pavlov,21,27075,2.5785714285714287,0.9157142857142857,21,2,0,23
20260924,7,0.02,tit_for_tat,21,27405,2.61,0.8328571428571429,22,0,0,22
20260924,8,0.02,always_cooperate,15,19140,2.552,1.0,15,1,0,16
20260924,8,0.02,always_defect,14,16768,2.3954285714285715,0.0,13,0,1,12
20260924,8,0.02,forgiving_tit_for_tat,26,35040,2.6953846153846155,0.8892307692307693,27,0,0,27
20260924,8,0.02,pavlov,23,30525,2.6543478260869566,0.9308695652173913,23,0,0,23
20260924,8,0.02,tit_for_tat,22,29493,2.6811818181818183,0.8633636363636363,22,0,0,22
20260924,9,0.02,always_cooperate,16,21270,2.65875,1.0,16,1,0,17
20260924,9,0.02,always_defect,12,14428,2.4046666666666665,0.0,11,0,0,11
20260924,9,0.02,forgiving_tit_for_tat,27,36540,2.7066666666666666,0.8933333333333333,27,0,0,27
20260924,9,0.02,pavlov,23,30975,2.6934782608695653,0.938695652173913,23,0,0,23
20260924,9,0.02,tit_for_tat,22,30228,2.748,0.892,23,0,1,22
20260925,0,0.02,always_cooperate,20,24000,2.4,1.0,19,0,1,18
20260925,0,0.02,always_defect,20,24192,2.4192,0.0,19,0,0,19
20260925,0,0.02,forgiving_tit_for_tat,20,25776,2.5776,0.8464,21,1,0,22
20260925,0,0.02,pavlov,20,25125,2.5125,0.9025,20,1,1,20
20260925,0,0.02,tit_for_tat,20,26031,2.6031,0.8299,21,0,0,21
20260925,1,0.02,always_cooperate,18,21450,2.3833333333333333,1.0,17,1,0,18
20260925,1,0.02,always_defect,19,22924,2.4130526315789473,0.0,18,1,1,18
20260925,1,0.02,forgiving_tit_for_tat,22,28314,2.574,0.8450909090909091,23,0,1,22
20260925,1,0.02,pavlov,20,25625,2.5625,0.9125,20,0,0,20
20260925,1,0.02,tit_for_tat,21,27195,2.59,0.8242857142857143,22,0,0,22
20260925,2,0.02,always_cooperate,18,21750,2.4166666666666665,1.0,17,1,2,16
20260925,2,0.02,always_defect,18,22016,2.446222222222222,0.0,17,3,0,20
20260925,2,0.02,forgiving_tit_for_tat,22,28754,2.614,0.8596363636363636,23,1,0,24
20260925,2,0.02,pavlov,20,25425,2.5425,0.9085,20,1,3,18
20260925,2,0.02,tit_for_tat,22,28737,2.6124545454545456,0.8339090909090909,23,0,1,22
20260925,3,0.02,always_cooperate,16,19080,2.385,1.0,15,1,1,15
20260925,3,0.02,always_defect,20,22952,2.2952,0.0,19,0,0,19
20260925,3,0.02,forgiving_tit_for_tat,24,30720,2.56,0.84,25,0,1,24
20260925,3,0.02,pavlov,18,22450,2.4944444444444445,0.8988888888888888,18,0,0,18
20260925,3,0.02,tit_for_tat,22,28632,2.602909090909091,0.8298181818181818,23,1,0,24
20260925,4,0.02,always_cooperate,15,18090,2.412,1.0,14,0,1,13
20260925,4,0.02,always_defect,19,21836,2.2985263157894735,0.0,18,1,0,19
20260925,4,0.02,forgiving_tit_for_tat,24,31314,2.6095,0.858,25,0,1,24
20260925,4,0.02,pavlov,18,22225,2.4694444444444446,0.8938888888888888,18,1,0,19
20260925,4,0.02,tit_for_tat,24,31107,2.59225,0.82525,25,0,0,25
20260925,5,0.02,always_cooperate,13,15150,2.330769230769231,1.0,12,1,0,13
20260925,5,0.02,always_defect,19,21284,2.240421052631579,0.0,17,0,1,16
20260925,5,0.02,forgiving_tit_for_tat,24,31226,2.6021666666666667,0.8553333333333333,25,0,1,24
20260925,5,0.02,pavlov,19,24350,2.5631578947368423,0.9126315789473685,20,1,0,21
20260925,5,0.02,tit_for_tat,25,32628,2.61024,0.83296,26,0,0,26
20260925,6,0.02,always_cooperate,13,16260,2.5015384615384617,1.0,13,1,0,14
20260925,6,0.02,always_defect,16,18212,2.2765,0.0,14,0,0,14
20260925,6,0.02,forgiving_tit_for_tat,24,31842,2.6535,0.874,25,1,1,25
20260925,6,0.02,pavlov,21,27050,2.5761904761904764,0.9152380952380952,21,0,0,21
20260925,6,0.02,tit_for_tat,26,34695,2.668846153846154,0.8580769230769231,27,0,1,26
20260925,7,0.02,always_cooperate,14,17850,2.55,1.0,14,0,1,13
20260925,7,0.02,always_defect,14,16140,2.3057142857142856,0.0,12,1,0,13
20260925,7,0.02,forgiving_tit_for_tat,25,33584,2.68672,0.88608,26,0,0,26
20260925,7,0.02,pavlov,21,28100,2.676190476190476,0.9352380952380952,21,0,0,21
20260925,7,0.02,tit_for_tat,26,34821,2.6785384615384618,0.8622307692307692,27,0,0,27
20260925,8,0.02,always_cooperate,13,16920,2.603076923076923,1.0,13,0,0,13
20260925,8,0.02,always_defect,13,14996,2.3070769230769232,0.0,11,0,1,10
20260925,8,0.02,forgiving_tit_for_tat,26,34996,2.692,0.888,27,1,0,28
20260925,8,0.02,pavlov,21,27825,2.65,0.93,21,0,0,21
20260925,8,0.02,tit_for_tat,27,37035,2.743333333333333,0.89,28,0,0,28
20260925,9,0.02,always_cooperate,13,17790,2.736923076923077,1.0,13,0,1,12
20260925,9,0.02,always_defect,10,11076,2.2152,0.0,8,0,0,8
20260925,9,0.02,forgiving_tit_for_tat,28,38920,2.78,0.92,29,1,0,30
20260925,9,0.02,pavlov,21,28850,2.7476190476190476,0.9495238095238095,21,0,0,21
20260925,9,0.02,tit_for_tat,28,39081,2.7915,0.9106428571428572,29,0,0,29
20260926,0,0.02,always_cooperate,20,23490,2.349,1.0,19,0,0,19
20260926,0,0.02,always_defect,20,24888,2.4888,0.0,20,0,0,20
20260926,0,0.02,forgiving_tit_for_tat,20,25886,2.5886,0.8504,21,0,0,21
20260926,0,0.02,pavlov,20,25100,2.51,0.902,20,0,0,20
20260926,0,0.02,tit_for_tat,20,25842,2.5842,0.8218,20,0,0,20
20260926,1,0.02,always_cooperate,19,22110,2.3273684210526318,1.0,18,1,0,19
20260926,1,0.02,always_defect,20,24928,2.4928,0.0,20,0,0,20
20260926,1,0.02,forgiving_tit_for_tat,21,26858,2.557904761904762,0.8392380952380952,21,0,1,20
20260926,1,0.02,pavlov,20,25100,2.51,0.902,20,0,1,19
20260926,1,0.02,tit_for_tat,20,25800,2.58,0.82,21,1,0,22
20260926,2,0.02,always_cooperate,19,23160,2.437894736842105,1.0,19,0,0,19
20260926,2,0.02,always_defect,20,23648,2.3648,0.0,19,0,1,18
20260926,2,0.02,forgiving_tit_for_tat,20,25512,2.5512,0.8368,20,0,0,20
20260926,2,0.02,pavlov,19,23425,2.4657894736842105,0.8931578947368422,19,0,0,19
20260926,2,0.02,tit_for_tat,22,28611,2.601,0.829,23,1,0,24
20260926,3,0.02,always_cooperate,19,23490,2.4726315789473685,1.0,19,0,1,18
20260926,3,0.02,always_defect,18,21752,2.416888888888889,0.0,17,1,0,18
20260926,3,0.02,forgiving_tit_for_tat,20,26018,2.6018,0.8552,20,0,0,20
20260926,3,0.02,pavlov,19,23800,2.5052631578947366,0.9010526315789473,19,0,0,19
20260926,3,0.02,tit_for_tat,24,31464,2.622,0.838,25,0,0,25
20260926,4,0.02,always_cooperate,18,21990,2.4433333333333334,1.0,17,0,1,16
20260926,4,0.02,always_defect,18,21336,2.3706666666666667,0.0,17,2,0,19
20260926,4,0.02,forgiving_tit_for_tat,20,26062,2.6062,0.8568,21,1,0,22
20260926,4,0.02,pavlov,19,24300,2.557894736842105,0.911578947368421,19,0,0,19
20260926,4,0.02,tit_for_tat,25,32964,2.63712,0.84448,26,0,2,24
20260926,5,0.02,always_cooperate,16,19320,2.415,1.0,15,0,0,15
20260926,5,0.02,always_defect,19,21952,2.310736842105263,0.0,18,0,0,18
20260926,5,0.02,forgiving_tit_for_tat,22,28050,2.55,0.8363636363636363,23,0,1,22
20260926,5,0.02,pavlov,19,24150,2.542105263157895,0.9084210526315789,19,1,0,20
20260926,5,0.02,tit_for_tat,24,31107,2.59225,0.82525,25,0,0,25
20260926,6,0.02,always_cooperate,15,18450,2.46,1.0,15,2,1,16
20260926,6,0.02,always_defect,18,20512,2.2791111111111113,0.0,16,1,3,14
