replicate_seed,generation,mutation_rate,reputation_enabled,communication_enabled,memory_window,policy,count,payoff,average_payoff_per_round,cooperation_rate,selected_count,mutations_in,mutations_out,next_count
20260923,5,0.0,False,False,1,always_defect,43,48576,2.2593488372093025,0.0,47,0,0,47
20260923,5,0.0,False,False,1,forgiving_tit_for_tat,12,10020,1.67,1.0,10,0,0,10
20260923,5,0.0,False,False,1,pavlov,15,14925,1.99,0.798,15,0,0,15
20260923,5,0.0,False,False,1,tit_for_tat,20,20676,2.0676,0.6004,20,0,0,20
20260923,6,0.0,False,False,1,always_cooperate,8,6150,1.5375,1.0,6,0,0,6
20260923,6,0.0,False,False,1,always_defect,47,50772,2.1605106382978723,0.0,52,0,0,52
20260923,6,0.0,False,False,1,forgiving_tit_for_tat,10,7350,1.47,1.0,8,0,0,8
20260923,6,0.0,False,False,1,pavlov,15,13350,1.78,0.756,14,0,0,14
20260923,6,0.0,False,False,1,tit_for_tat,20,19752,1.9752,0.5608,20,0,0,20
20260923,7,0.0,False,False,1,always_cooperate,6,4440,1.48,1.0,5,0,0,5
20260923,7,0.0,False,False,1,always_defect,52,49784,1.9147692307692308,0.0,55,0,0,55
20260923,7,0.0,False,False,1,forgiving_tit_for_tat,8,5580,1.395,1.0,6,0,0,6
20260923,7,0.0,False,False,1,pavlov,14,12225,1.7464285714285714,0.7492857142857143,13,0,0,13
20260923,7,0.0,False,False,1,tit_for_tat,20,18849,1.8849,0.5221,21,0,0,21
20260923,8,0.0,False,False,1,always_cooperate,5,3120,1.248,1.0,4,0,0,4
20260923,8,0.0,False,False,1,always_defect,55,49508,1.8002909090909092,0.0,57,0,0,57
20260923,8,0.0,False,False,1,forgiving_tit_for_tat,6,4080,1.36,1.0,5,0,0,5
20260923,8,0.0,False,False,1,pavlov,13,10475,1.6115384615384616,0.7223076923076923,12,0,0,12
20260923,8,0.0,False,False,1,tit_for_tat,21,18963,1.806,0.48828571428571427,22,0,0,22
20260923,9,0.0,False,False,1,always_cooperate,4,2700,1.35,1.0,3,0,0,3
20260923,9,0.0,False,False,1,always_defect,57,48232,1.6923508771929825,0.0,58,0,0,58
20260923,9,0.0,False,False,1,forgiving_tit_for_tat,5,3030,1.212,1.0,4,0,0,4
20260923,9,0.0,False,False,1,pavlov,12,9475,1.5791666666666666,0.7158333333333333,11,0,0,11
20260923,9,0.0,False,False,1,tit_for_tat,22,19602,1.782,0.478,24,0,0,24
20260924,0,0.0,False,False,1,always_cooperate,20,23730,2.373,1.0,18,0,0,18
20260924,0,0.0,False,False,1,always_defect,20,31624,3.1624,0.0,25,0,0,25
20260924,0,0.0,False,False,1,forgiving_tit_for_tat,20,23790,2.379,1.0,18,0,0,18
20260924,0,0.0,False,False,1,pavlov,20,24775,2.4775,0.8955,19,0,0,19
20260924,0,0.0,False,False,1,tit_for_tat,20,25779,2.5779,0.8191,20,0,0,20
20260924,1,0.0,False,False,1,always_cooperate,18,19680,2.1866666666666665,1.0,16,0,0,16
20260924,1,0.0,False,False,1,always_defect,25,36588,2.92704,0.0,29,0,0,29
20260924,1,0.0,False,False,1,forgiving_tit_for_tat,18,20460,2.2733333333333334,1.0,17,0,0,17
20260924,1,0.0,False,False,1,pavlov,19,22700,2.389473684210526,0.8778947368421053,18,0,0,18
20260924,1,0.0,False,False,1,tit_for_tat,20,24918,2.4918,0.7822,20,0,0,20
20260924,2,0.0,False,False,1,always_cooperate,16,16980,2.1225,1.0,14,0,0,14
20260924,2,0.0,False,False,1,always_defect,29,39620,2.7324137931034485,0.0,33,0,0,33
20260924,2,0.0,False,False,1,forgiving_tit_for_tat,17,18540,2.1811764705882353,1.0,16,0,0,16
20260924,2,0.0,False,False,1,pavlov,18,20300,2.2555555555555555,0.8511111111111112,17,0,0,17
20260924,2,0.0,False,False,1,tit_for_tat,20,24120,2.412,0.748,20,0,0,20
20260924,3,0.0,False,False,1,always_cooperate,14,12990,1.8557142857142856,1.0,11,0,0,11
20260924,3,0.0,False,False,1,always_defect,33,45028,2.728969696969697,0.0,39,0,0,39
20260924,3,0.0,False,False,1,forgiving_tit_for_tat,16,15750,1.96875,1.0,14,0,0,14
20260924,3,0.0,False,False,1,pavlov,17,18575,2.1852941176470586,0.8370588235294117,16,0,0,16
20260924,3,0.0,False,False,1,tit_for_tat,20,23133,2.3133,0.7057,20,0,0,20
20260924,4,0.0,False,False,1,always_cooperate,11,10020,1.8218181818181818,1.0,9,0,0,9
20260924,4,0.0,False,False,1,always_defect,39,46652,2.3924102564102565,0.0,43,0,0,43
20260924,4,0.0,False,False,1,forgiving_tit_for_tat,14,12720,1.8171428571428572,1.0,12,0,0,12
20260924,4,0.0,False,False,1,pavlov,16,16650,2.08125,0.81625,16,0,0,16
20260924,4,0.0,False,False,1,tit_for_tat,20,21642,2.1642,0.6418,20,0,0,20
20260924,5,0.0,False,False,1,always_cooperate,9,7590,1.6866666666666668,1.0,7,0,0,7
20260924,5,0.0,False,False,1,always_defect,43,49220,2.2893023255813953,0.0,48,0,0,48
20260924,5,0.0,False,False,1,forgiving_tit_for_tat,12,9810,1.635,1.0,10,0,0,10
20260924,5,0.0,False,False,1,pavlov,16,15075,1.884375,0.776875,15,0,0,15
20260924,5,0.0,False,False,1,tit_for_tat,20,20655,2.0655,0.5995,20,0,0,20
20260924,6,0.0,False,False,1,always_cooperate,7,5490,1.5685714285714285,1.0,6,0,0,6
20260924,6,0.0,False,False,1,always_defect,48,49196,2.0498333333333334,0.0,51,0,0,51
20260924,6,0.0,False,False,1,forgiving_tit_for_tat,10,7800,1.56,1.0,8,0,0,8
20260924,6,0.0,False,False,1,pavlov,15,13775,1.8366666666666667,0.7673333333333333,14,0,0,14
20260924,6,0.0,False,False,1,tit_for_tat,20,19836,1.9836,0.5644,21,0,0,21
20260924,7,0.0,False,False,1,always_cooperate,6,4140,1.38,1.0,4,0,0,4
20260924,7,0.0,False,False,1,always_defect,51,49424,1.9381960784313725,0.0,54,0,0,54
20260924,7,0.0,False,False,1,forgiving_tit_for_tat,8,5970,1.4925,1.0,7,0,0,7
20260924,7,0.0,False,False,1,pavlov,14,12025,1.7178571428571427,0.7435714285714285,13,0,0,13
20260924,7,0.0,False,False,1,tit_for_tat,21,19824,1.888,0.5234285714285715,22,0,0,22
20260924,8,0.0,False,False,1,always_cooperate,4,2880,1.44,1.0,3,0,0,3
20260924,8,0.0,False,False,1,always_defect,54,48300,1.788888888888889,0.0,56,0,0,56
20260924,8,0.0,False,False,1,forgiving_tit_for_tat,7,4650,1.3285714285714285,1.0,5,0,0,5
20260924,8,0.0,False,False,1,pavlov,13,10875,1.6730769230769231,0.7346153846153847,13,0,0,13
20260924,8,0.0,False,False,1,tit_for_tat,22,20190,1.8354545454545454,0.5009090909090909,23,0,0,23
20260924,9,0.0,False,False,1,always_cooperate,3,2070,1.38,1.0,2,0,0,2
20260924,9,0.0,False,False,1,always_defect,56,46728,1.6688571428571428,0.0,56,0,0,56
20260924,9,0.0,False,False,1,forgiving_tit_for_tat,5,2970,1.188,1.0,4,0,0,4
20260924,9,0.0,False,False,1,pavlov,13,10950,1.6846153846153846,0.7369230769230769,13,0,0,13
20260924,9,0.0,False,False,1,tit_for_tat,23,20808,1.809391304347826,0.4897391304347826,25,0,0,25
20260925,0,0.0,False,False,1,always_cooperate,20,24000,2.4,1.0,19,0,0,19
20260925,0,0.0,False,False,1,always_defect,20,30336,3.0336,0.0,23,0,0,23
20260925,0,0.0,False,False,1,forgiving_tit_for_tat,20,24240,2.424,1.0,19,0,0,19
20260925,0,0.0,False,False,1,pavlov,20,25125,2.5125,0.9025,19,0,0,19
20260925,0,0.0,False,False,1,tit_for_tat,20,26031,2.6031,0.8299,20,0,0,20
20260925,1,0.0,False,False,1,always_cooperate,19,21300,2.2421052631578946,1.0,17,0,0,17
20260925,1,0.0,False,False,1,always_defect,23,34804,3.0264347826086957,0.0,27,0,0,27
20260925,1,0.0,False,False,1,forgiving_tit_for_tat,19,22140,2.3305263157894736,1.0,18,0,0,18
20260925,1,0.0,False,False,1,pavlov,19,23075,2.4289473684210527,0.8857894736842106,18,0,0,18
20260925,1,0.0,False,False,1,tit_for_tat,20,25359,2.5359,0.8011,20,0,0,20
20260925,2,0.0,False,False,1,always_cooperate,17,17670,2.0788235294117645,1.0,15,0,0,15
20260925,2,0.0,False,False,1,always_defect,27,39640,2.9362962962962964,0.0,32,0,0,32
20260925,2,0.0,False,False,1,forgiving_tit_for_tat,18,19740,2.1933333333333334,1.0,16,0,0,16
20260925,2,0.0,False,False,1,pavlov,18,20775,2.308333333333333,0.8616666666666667,17,0,0,17
20260925,2,0.0,False,False,1,tit_for_tat,20,24540,2.454,0.766,20,0,0,20
20260925,3,0.0,False,False,1,always_cooperate,15,15270,2.036,1.0,13,0,0,13
20260925,3,0.0,False,False,1,always_defect,32,42696,2.6685,0.0,37,0,0,37
20260925,3,0.0,False,False,1,forgiving_tit_for_tat,16,16110,2.01375,1.0,14,0,0,14
20260925,3,0.0,False,False,1,pavlov,17,18950,2.2294117647058824,0.8458823529411764,16,0,0,16
20260925,3,0.0,False,False,1,tit_for_tat,20,23196,2.3196,0.7084,20,0,0,20
20260925,4,0.0,False,False,1,always_cooperate,13,12420,1.9107692307692308,1.0,11,0,0,11
20260925,4,0.0,False,False,1,always_defect,37,46676,2.523027027027027,0.0,42,0,0,42
20260925,4,0.0,False,False,1,forgiving_tit_for_tat,14,12720,1.8171428571428572,1.0,12,0,0,12
20260925,4,0.0,False,False,1,pavlov,16,16275,2.034375,0.806875,15,0,0,15
20260925,4,0.0,False,False,1,tit_for_tat,20,22041,2.2041,0.6589,20,0,0,20
20260925,5,0.0,False,False,1,always_cooperate,11,9270,1.6854545454545455,1.0,9,0,0,9
20260925,5,0.0,False,False,1,always_defect,42,48196,2.2950476190476192,0.0,46,0,0,46
20260925,5,0.0,False,False,1,forgiving_tit_for_tat,12,10740,1.79,1.0,11,0,0,11
20260925,5,0.0,False,False,1,pavlov,15,14775,1.97,0.794,14,0,0,14
20260925,5,0.0,False,False,1,tit_for_tat,20,21096,2.1096,0.6184,20,0,0,20
20260925,6,0.0,False,False,1,always_cooperate,9,7260,1.6133333333333333,1.0,7,0,0,7
20260925,6,0.0,False,False,1,always_defect,46,50056,2.1763478260869564,0.0,51,0,0,51
20260925,6,0.0,False,False,1,forgiving_tit_for_tat,11,8820,1.6036363636363635,1.0,9,0,0,9
20260925,6,0.0,False,False,1,pavlov,14,12800,1.8285714285714285,0.7657142857142857,13,0,0,13
20260925,6,0.0,False,False,1,tit_for_tat,20,19836,1.9836,0.5644,20,0,0,20
20260925,7,0.0,False,False,1,always_cooperate,7,4950,1.4142857142857144,1.0,5,0,0,5
20260925,7,0.0,False,False,1,always_defect,51,51124,2.0048627450980394,0.0,55,0,0,55
20260925,7,0.0,False,False,1,forgiving_tit_for_tat,9,6330,1.4066666666666667,1.0,7,0,0,7
20260925,7,0.0,False,False,1,pavlov,13,11300,1.7384615384615385,0.7476923076923077,12,0,0,12
20260925,7,0.0,False,False,1,tit_for_tat,20,18954,1.8954,0.5266,21,0,0,21
20260925,8,0.0,False,False,1,always_cooperate,5,3510,1.404,1.0,4,0,0,4
20260925,8,0.0,False,False,1,always_defect,55,49444,1.7979636363636364,0.0,57,0,0,57
20260925,8,0.0,False,False,1,forgiving_tit_for_tat,7,4470,1.2771428571428571,1.0,5,0,0,5
20260925,8,0.0,False,False,1,pavlov,12,10100,1.6833333333333333,0.7366666666666667,12,0,0,12
20260925,8,0.0,False,False,1,tit_for_tat,21,19614,1.868,0.5148571428571429,22,0,0,22
20260925,9,0.0,False,False,1,always_cooperate,4,2670,1.335,1.0,3,0,0,3
20260925,9,0.0,False,False,1,always_defect,57,47512,1.6670877192982456,0.0,57,0,0,57
20260925,9,0.0,False,False,1,forgiving_tit_for_tat,5,3600,1.44,1.0,4,0,0,4
20260925,9,0.0,False,False,1,pavlov,12,9500,1.5833333333333333,0.7166666666666667,12,0,0,12
20260925,9,0.0,False,False,1,tit_for_tat,22,19497,1.7724545454545455,0.4739090909090909,24,0,0,24
20260926,0,0.0,False,False,1,always_cooperate,20,23490,2.349,1.0,18,0,0,18
20260926,0,0.0,False,False,1,always_defect,20,30872,3.0872,0.0,24,0,0,24
20260926,0,0.0,False,False,1,forgiving_tit_for_tat,20,24390,2.439,1.0,19,0,0,19
20260926,0,0.0,False,False,1,pavlov,20,25100,2.51,0.902,19,0,0,19
20260926,0,0.0,False,False,1,tit_for_tat,20,25842,2.5842,0.8218,20,0,0,20
20260926,1,0.0,False,False,1,always_cooperate,18,19740,2.1933333333333334,1.0,16,0,0,16
20260926,1,0.0,False,False,1,always_defect,24,36376,3.0313333333333334,0.0,29,0,0,29
20260926,1,0.0,False,False,1,forgiving_tit_for_tat,19,21660,2.28,1.0,17,0,0,17
20260926,1,0.0,False,False,1,pavlov,19,22700,2.389473684210526,0.8778947368421053,18,0,0,18
20260926,1,0.0,False,False,1,tit_for_tat,20,25086,2.5086,0.7894,20,0,0,20
